,name,pincode,cuisine,dietaryRestrictions,dishes,features,latitude,longitude,mealType,numberOfReviews,rankingDenominator,rankingPosition,rating,rawRanking,cuisine_category
17,Vanamo,560008,Cafe International Mediterranean European Healthy    ,   ,                       ,Reservations Outdoor Seating Private Dining Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Discover Accepts Credit Cards Table Service Family style            ,12.969271,77.64158,Breakfast Lunch Dinner Brunch Drinks ,7,5993.0,497.0,5.0,3.239985704,Mediterranean
18,The Lantern,560025,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Dumplings Lobster Chili Prawns Duck Lamb Fried rice Fish Pork             ,Takeout Reservations Private Dining Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Cash Only Free Wifi Accepts Credit Cards Table Service            ,12.968014,77.60145,Lunch Dinner Brunch   ,217,5993.0,111.0,4.5,3.984504938,Chinese
19,Arbor Brewing Company - Brewpub & Eatery,560038,American Bar Pub Gastropub     ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Chicken Wings Burger Salad Tacos Wings Calamari Nachos Prawns Lamb Pesto Fish Pork           ,Reservations Outdoor Seating Seating Parking Available Validated Parking Valet Parking Television Serves Alcohol Full Bar Accepts Credit Cards Table Service                  ,12.970209,77.610825,Lunch Dinner Brunch Late Night Drinks ,636,5993.0,92.0,4.0,4.117317677,American
20,Bistro Claytopia,560034,American Cafe       ,Vegetarian Friendly   ,Sandwiches Pasta Burger Salad Pesto                   ,Delivery Takeout Reservations Outdoor Seating Seating Table Service                       ,12.925585,77.63349,Lunch Dinner Brunch Late Night  ,102,5993.0,353.0,4.0,3.335356712,American
21,Wabi Sabi,560001,Chinese Japanese Sushi Asian Shanghai    ,Vegetarian Friendly Vegan Options  ,Noodle Lobster Sashimi                     ,Reservations Seating Serves Alcohol Accepts Credit Cards Table Service                        ,12.973068,77.61802,Lunch Dinner    ,49,5993.0,128.0,5.0,3.824762106,Chinese
22,7rivers Brewing Co,560001,Italian Chinese Indian Brew Pub Bar Contemporary   ,Vegetarian Friendly   ,                       ,Reservations Seating Serves Alcohol Accepts Credit Cards Table Service                        ,12.97326,77.61967,Lunch Dinner    ,51,76.0,3.0,5.0,4.20030117,Indian
23,"Oia, Hennur Main Road, Airport road",560077,Italian Indian Pub Gastropub     ,   ,                       ,Reservations Outdoor Seating Private Dining Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts Credit Cards                   ,13.073504,77.651085,Lunch Dinner Drinks   ,9,5993.0,1737.0,3.5,3.0563972,Indian
24,Mamagoto,560038,Chinese Asian Thai Szechuan Singaporean Shanghai Hong Kong  ,Vegetarian Friendly Vegan Options  ,Noodle Dumplings Pad Thai Shrimp Tempura Ramen Salad Chili Laksa Curry Prawns Lamb Fried rice Fish          ,Delivery Takeout Reservations Seating Valet Parking Serves Alcohol Table Service                      ,12.970122,77.63923,Lunch Dinner    ,192,5993.0,210.0,4.0,3.56443572,Chinese
25,Kapoor's Cafe,560066,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Paneer Roti                      ,Delivery Takeout Seating Parking Available Accepts Credit Cards Table Service                       ,12.956111,77.72001,Breakfast Lunch Dinner Brunch  ,150,5993.0,242.0,4.0,3.467400074,Indian
26,Rajdhani Thali,560055,Indian        ,Vegetarian Friendly Vegan Options  ,Curry Thali Roti                     ,Reservations Seating Wheelchair Accessible Table Service                         ,13.011042,77.55502,Lunch Dinner    ,105,5993.0,344.0,4.0,3.341884851,Indian
27,Eden Park Bar And Restaurant,560052,Indian        ,Vegetarian Friendly Vegan Options  ,Fish                       ,Takeout Reservations Seating Parking Available Validated Parking Serves Alcohol Full Bar Table Service                     ,12.983494,77.59871,Lunch Dinner    ,65,5993.0,455.0,4.0,3.259193897,Indian
28,Shao,560037,Chinese Asian Thai Cantonese Szechuan Shanghai Hong Kong  ,Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Tempura Chili Curry Prawns Beef Lamb Fried rice Pork Hot and Sour Soup             ,Reservations Seating Validated Parking Wheelchair Accessible Serves Alcohol Full Bar Table Service                      ,12.950286,77.69859,Lunch Dinner    ,167,5993.0,61.0,4.5,4.456302166,Chinese
29,The Grill House,560001,American Steakhouse Bar International Barbecue Pub   ,Vegetarian Friendly   ,Pasta Burger Wings Nachos Beef Lamb Pesto Fish                ,Takeout Reservations Seating Television Serves Alcohol Full Bar Table Service                      ,12.975105,77.62,Lunch Dinner Late Night   ,103,5993.0,280.0,4.0,3.412070751,Barbecue
30,Eshanya,,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Curry Thali Roti                     ,Reservations Seating Table Service                          ,12.923056,77.59321,Lunch Dinner    ,109,5993.0,494.0,4.0,3.240929604,Indian
31,Toscano,560001,Italian Pizza European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Cheesecake Lasagne Salad Risotto Tiramisu Minestrone Salmon Beef Lamb Antipasti Pesto Fish Penne Pepperoni Pizza         ,Takeout Reservations Outdoor Seating Seating Parking Available Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service Live Music                 ,12.971995,77.59605,Lunch Dinner Brunch Late Night  ,428,5993.0,97.0,4.0,4.100059509,Italian
32,1947 Restaurant,560070,Indian Asian       ,Vegetarian Friendly Vegan Options  ,                       ,Delivery Takeout Reservations Seating Table Service                        ,12.922704,77.556435,Lunch Dinner Brunch   ,55,5993.0,326.0,4.0,3.358010054,Indian
33,China Pearl,560095,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly   ,Noodle Crab Prawns Lamb Fried rice Fish Paneer                 ,Delivery Takeout Reservations Seating Table Service                        ,12.936072,77.6214,Lunch Dinner Late Night   ,204,5993.0,165.0,4.0,3.686296463,Chinese
34,Yauatcha,560043,Chinese Asian Cantonese Shanghai Hong Kong    ,Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Dim Sum Dumplings Kung Pao Chicken Ribs Shrimp Salad Chili Curry Macarons Macaroons Prawns Toasts Duck Lamb Cakes Fried rice Fish Pork Hot and Sour Soup    ,Takeout Reservations Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Family style           ,12.973019,77.62044,Lunch Dinner Late Night   ,317,5993.0,84.0,4.5,4.183969021,Chinese
35,Sattvam,560078,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Ice Cream Roti                      ,Reservations Seating Table Service                          ,12.906231,77.58687,Lunch Dinner    ,40,5993.0,472.0,4.0,3.251436472,Indian
36,Udupi Sri Krishna Bhavan,,Indian        ,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Table Service                          ,12.946071,77.5704,Breakfast Lunch Dinner Brunch  ,43,5993.0,386.0,4.0,3.305862904,Indian
37,Mynt,560066,Italian Indian International Mediterranean Asian    ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Salad Curry Cakes                    ,Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service Dog Friendly Non-smoking restaurants          ,12.98679,77.737434,Breakfast Lunch Dinner Brunch Late Night Drinks,121,5993.0,226.0,4.0,3.501103163,Indian
38,Zaitoon,560008,Indian Barbecue Middle Eastern      ,Vegetarian Friendly Halal  ,Shawarma Hummus Fish                     ,Delivery Takeout Reservations Seating Parking Available Table Service                       ,12.959722,77.64699,Lunch Dinner    ,143,5993.0,284.0,4.0,3.406517744,Indian
39,Zen,560008,Chinese Japanese Sushi Asian Thai Cantonese Szechuan Shanghai Hong Kong,Vegetarian Friendly Vegan Options Halal Gluten Free Options,Noodle Dim Sum Dumplings Pad Thai Tempura Salad Chili Cod Salmon Prawns Fried rice Sashimi Fish           ,Takeout Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Table Service               ,12.961097,77.64892,Lunch Dinner Brunch Late Night  ,316,5993.0,56.0,4.5,4.535625458,Chinese
40,1522 - The Pub,560034,Indian Bar Pub      ,Vegetarian Friendly Vegan Options  ,Paneer                       ,Reservations Seating Television Serves Alcohol Full Bar Table Service                       ,13.032792,77.569305,Dinner     ,56,5993.0,274.0,4.0,3.335628033,Indian
41,Europa 360,560037,Steakhouse        ,   ,Salad Lamb chops Lamb                     ,Reservations Seating Parking Available Wheelchair Accessible Serves Alcohol Full Bar Table Service                      ,12.950527,77.6984,Dinner     ,85,5993.0,138.0,4.5,3.786862612,Steakhouse
42,Herbs & Spices,560066,Indian Diner       ,Vegetarian Friendly Vegan Options  ,Pasta Curry Beef Pesto Fish Paneer                  ,Delivery Reservations Outdoor Seating Seating Parking Available Validated Parking Wheelchair Accessible Serves Alcohol Table Service                    ,12.968172,77.75077,Lunch Dinner Brunch Late Night  ,162,5993.0,235.0,4.0,3.486525059,Indian
43,Sarjapur Social,560035,Indian Bar International Asian Pub    ,   ,                       ,Delivery Takeout Reservations Seating Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Free Wifi Table Service Family style                  ,12.909862,77.68558,Breakfast Lunch Dinner   ,27,5993.0,508.0,4.0,3.235856295,Indian
44,JW Kitchen,560001,Indian International Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Noodle Pasta Lasagne Salad Pancakes Waffles Curry Pesto Cakes Fish Paneer Roti           ,Reservations Outdoor Seating Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Live Music Drive Thru           ,12.972428,77.5947,Breakfast Lunch Dinner Brunch Drinks ,574,5993.0,55.0,4.5,4.549291611,Indian
45,Nagarjuna Restaurant,560025,Indian Asian       ,Vegetarian Friendly Vegan Options  ,                       ,Takeout Reservations Seating Table Service                         ,12.91565,77.59999,Lunch Dinner    ,44,5993.0,463.0,4.0,3.255986929,Indian
46,Edo - Japanese Restaurant and Bar,560025,Seafood Sushi Asian      ,Vegetarian Friendly Vegan Options Gluten Free Options ,Noodle Cheesecake Crab Tempura Udon & Soba (Wheat & Buckwheat Noodle) Ramen Bento (Lunch Box) Salad Tiramisu Cod Salmon Tuna Prawns Fish Soup Uramaki Lamb Udon Gyoza Fried rice Sashimi Fish Pork  ,Reservations Outdoor Seating Seating Parking Available Valet Parking Wheelchair Accessible Serves Alcohol Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service Family style Gift Cards Available             ,12.967054,77.596115,Lunch Dinner Drinks   ,653,5993.0,33.0,4.5,4.753536701,Asian
47,9th Mile Dhaba,560065,Indian        ,Vegetarian Friendly Vegan Options  ,                       ,Reservations Seating Parking Available Validated Parking Wheelchair Accessible Serves Alcohol Table Service                      ,13.086517,77.5912,Lunch Dinner    ,66,5993.0,258.0,4.0,3.449338675,Indian
48,1947,560003,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Ice Cream Pasta Curry Pesto Paneer Roti                  ,Delivery Takeout Reservations Seating Table Service                        ,13.00573,77.569084,Lunch Dinner Late Night   ,137,5993.0,415.0,3.5,3.283776283,Indian
49,Dum Pukht,560052,Indian        ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,Kabobs Prawns Lamb Fish Paneer Roti                  ,Reservations Private Dining Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service                 ,12.993986,77.586426,Lunch Dinner    ,338,5993.0,25.0,5.0,4.781230927,Indian
50,Big Pitcher,560008,Brew Pub Bar International Barbecue European    ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Pasta Burger Salad Wings Chili Nachos Curry Prawns Beef Lamb Pesto Fish Pork Paneer         ,Takeout Reservations Outdoor Seating Buffet Private Dining Seating Parking Available Validated Parking Valet Parking Television Highchairs Available Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Live Music       ,12.96015,77.64693,Lunch Dinner Late Night Drinks  ,378,5993.0,134.0,4.0,3.809945345,Barbecue
51,The White Room,560001,Cafe European British      ,Vegetarian Friendly Vegan Options  ,Salad                       ,Reservations Seating Table Service                          ,12.975217,77.60323,Breakfast Lunch Dinner Brunch  ,33,5993.0,480.0,4.0,3.247334242,European
52,The London Curry House,560001,Chinese Indian       ,Vegetarian Friendly Vegan Options  ,Ice Cream Curry Paneer Roti                    ,Reservations Outdoor Seating Seating Valet Parking Highchairs Available Wheelchair Accessible Free Wifi Table Service                     ,12.985436,77.5792,Lunch Dinner Brunch   ,141,5993.0,203.0,4.0,3.588617563,Indian
53,Taiki,560038,Japanese Sushi Asian Thai Korean    ,Vegetarian Friendly Vegan Options  ,Noodle Crab Dumplings Shrimp Tempura Ramen Salad Chili Salmon Tuna Prawns Lamb Gyoza Fish          ,Reservations Seating Street Parking Accepts Credit Cards Table Service                        ,12.976917,77.640755,Lunch Dinner    ,36,5993.0,397.0,4.5,3.293932438,Asian
54,The Punjabi Rasoi,560102,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Tandoori Chicken Curry Paneer Roti                    ,Delivery Takeout Reservations Seating Table Service                        ,12.90836,77.63803,Lunch Dinner    ,171,5993.0,265.0,4.0,3.442203999,Indian
55,Gramin,560095,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Curry Paneer Thali Roti                    ,Delivery Takeout Seating Table Service                         ,12.934721,77.61324,Lunch Dinner Brunch Late Night  ,265,5993.0,211.0,4.0,3.562611103,Indian
56,URU Brewpark,560076,Indian Brew Pub Bar Asian     ,Vegetarian Friendly Vegan Options  ,Pasta Pesto                      ,Takeout Reservations Outdoor Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Table Service                    ,12.88998,77.59776,Lunch Dinner Drinks   ,52,5993.0,529.0,3.5,3.227825642,Indian
57,Sattvam,560080,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Noodle Pasta Salad Curry Pesto Cakes Paneer Roti               ,Reservations Buffet Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Table Service                    ,13.005726,77.58063,Lunch Dinner Brunch   ,359,5993.0,126.0,4.0,3.829896927,Indian
58,Mainland China,560001,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,Vegetarian Friendly Vegan Options  ,Noodle Crab Dim Sum Dumplings Salad Chili Curry Prawns Duck Lamb Fried rice Fish Kimchi           ,Delivery Takeout Reservations Buffet Seating Valet Parking Serves Alcohol Table Service                     ,12.975238,77.60349,Lunch Dinner Late Night   ,478,5993.0,143.0,4.0,3.775921345,Chinese
59,Jalpaan Restaurant,560082,Indian International Asian      ,Vegetarian Friendly Vegan Options  ,Pasta Fondue Pesto Paneer Thali Roti                  ,Delivery Takeout Reservations Seating Table Service                        ,12.925232,77.57712,Lunch Dinner    ,81,5993.0,372.0,4.0,3.321882963,Indian
60,Church Street Social,560001,Indian Bar International      ,Vegetarian Friendly Vegan Options  ,Burger Salad Pancakes Wings Nachos Toasts Lamb Fish Paneer               ,Reservations Television Serves Alcohol Full Bar Wine and Beer Family style Sports bars                      ,12.975693,77.60273,Lunch Dinner Drinks   ,376,5993.0,115.0,4.0,3.901406288,Indian
61,Nagarjuna,560027,Indian Asian       ,Vegetarian Friendly Vegan Options Halal ,Chilli Chicken Chili Curry Prawns Lamb Fish Chicken dishes Fish Curry Thali               ,Delivery Takeout Reservations Seating Accepts Credit Cards Table Service                       ,12.973171,77.60925,Lunch Dinner Late Night   ,649,5993.0,87.0,4.0,4.159251213,Indian
62,Phobidden Fruit,560038,Vietnamese        ,Vegetarian Friendly Vegan Options  ,Noodle Crab Ribs Salad Pho Wings Chili Curry Red Curry Lettuce Wraps Prawns Beef Fried rice Fish Pork Noodle Soup        ,Takeout Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Table Service                      ,12.970047,77.63961,Lunch Dinner Late Night   ,282,5993.0,133.0,4.0,3.814148664,Vietnamese
63,Bene,560055,Italian Pizza Mediterranean European     ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Lasagne Salad Risotto Tiramisu Lamb Antipasti Pesto Cakes Fish              ,Reservations Outdoor Seating Private Dining Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Accepts Credit Cards Table Service               ,13.012473,77.55547,Lunch Dinner Brunch Late Night  ,329,5993.0,54.0,4.5,4.566536427,Italian
64,Rajdhani,560001,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Salad Curry Paneer Thali Roti                   ,Takeout Reservations Seating Parking Available Highchairs Available Wheelchair Accessible Table Service                      ,12.97116,77.59769,Lunch Dinner Late Night   ,642,5993.0,116.0,4.0,3.892629385,Indian
65,Millers 46,560046,American Steakhouse       ,Vegetarian Friendly   ,Pasta Chicken Wings Cheesecake Burger Ribs T-Bone Steak Salad Wings Prawns French Fries Beef Lamb Pesto Fish Pork         ,Delivery Takeout Reservations Seating Serves Alcohol Full Bar Table Service                      ,12.991574,77.59416,Lunch Dinner Brunch Late Night  ,309,5993.0,124.0,4.0,3.843031406,American
66,Kamat Lokaruchi,,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Curry Thali Roti                    ,Takeout Outdoor Seating Seating Parking Available Accepts Credit Cards Table Service                       ,12.700336,77.25161,Breakfast Lunch Dinner Brunch Late Night ,302,5993.0,181.0,4.0,3.643793583,Indian
67,The Druid Garden,560092,Indian Brew Pub Bar International     ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Crab Burger Salad Tacos Curry Prawns Beef Pesto Fried rice Fish Pork Paneer           ,Delivery Takeout Reservations Seating Parking Available Street Parking Valet Parking Television Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service Family style Non-smoking restaurants        ,13.063616,77.59127,Lunch Dinner Drinks   ,438,5993.0,49.0,4.5,4.675207615,Indian
68,Dakshin,560052,Indian        ,Vegetarian Friendly Vegan Options Gluten Free Options ,Crab Curry Prawns Lamb Fish Fish Curry Thali Payasam                ,Reservations Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Accepts Credit Cards Table Service                   ,12.994166,77.58559,Lunch Dinner    ,715,5993.0,41.0,5.0,4.726513386,Indian
69,Caraway Kitchen,560008,American Indian Seafood European Asian    ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Lobster Salad Waffles Pesto Cakes Fish                 ,Reservations Seating Parking Available Validated Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Table Service                    ,12.975461,77.620766,Breakfast Lunch Dinner Brunch Drinks ,329,5993.0,35.0,5.0,4.734867096,Indian
70,The Hebbal Cafe,560045,Indian Cafe Asian      ,Vegetarian Friendly Vegan Options  ,                       ,Delivery Reservations Buffet Private Dining Seating Wheelchair Accessible Serves Alcohol Wine and Beer Digital Payments Accepts Credit Cards Table Service Family style Non-smoking restaurants                ,13.04204,77.61334,Breakfast Lunch Brunch Drinks  ,46,6520.0,205.0,4.5,3.600690126,Indian
71,Feast,560055,Indian Bar International Asian     ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Salad Waffles Curry Prawns Pesto Cakes Fish Pork Paneer              ,Reservations Private Dining Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Digital Payments Free Wifi Accepts Credit Cards Table Service Live Music              ,13.012422,77.55477,Breakfast Lunch Dinner Brunch  ,625,5993.0,51.0,4.5,4.612602711,Indian
72,Kappa Chakka Kandhari,560095,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Curry Prawns Fish                     ,Delivery Takeout Reservations Seating Table Service                        ,12.940622,77.62348,Lunch Dinner    ,36,5993.0,225.0,4.5,3.502747059,Indian
73,Caprese,560052,Italian European       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Pasta Salad Risotto Tiramisu Prawns Lamb Pesto                 ,Reservations Outdoor Seating Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Table Service                 ,12.992222,77.588394,Lunch Dinner    ,249,5993.0,38.0,5.0,4.729028225,Italian
74,Citrus at the Leela Palace Bangalore,560008,Indian International       ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,Juice & Smoothies Pasta Burger Salad Prawns Beef Lamb Pesto Cakes Fish              ,Reservations Outdoor Seating Private Dining Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Accepts Credit Cards Table Service Live Music              ,12.960232,77.64854,Breakfast Lunch Dinner Brunch Late Night ,607,5993.0,50.0,4.5,4.632314205,Indian
